12-18-2017 | 15:30:23 |   192.168.4.55|161201|Register Existing Student Batch By Program|http://localhost/NDUB/ndub-student/public/register/existing/student/batch/program-01|Mozilla Firefox|windows|||
12-18-2017 | 15:30:26 |   192.168.4.55|161201|Register Existing Student By Batch|http://localhost/NDUB/ndub-student/public/register/existing/batch-student/program-01/batch-0|Mozilla Firefox|windows|||
12-18-2017 | 15:30:29 |   192.168.4.55|161201|Register Existing Student By Batch|http://localhost/NDUB/ndub-student/public/register/existing/batch-student/program-01/batch-1|Mozilla Firefox|windows|||
12-18-2017 | 15:30:32 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:33:25 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:34:09 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:35:28 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:36:40 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:39:18 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:42:32 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:42:46 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:43:19 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:44:51 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:45:55 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:46:12 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:50:25 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:51:08 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:51:47 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
12-18-2017 | 15:53:18 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=1&program=01&student_no=181010011|Mozilla Firefox|windows|||
